dev_id,sprint_id,completion_time,defects,velocity_contribution,blocked_tasks,reopened_tasks
D10,2,5.55,2,6.29,0,0
D17,2,5.55,2,6.8,0,0
D9,2,3.01,1,10.93,1,0
D16,3,1.81,5,10.77,0,0
D36,3,3.62,1,10.67,0,0
D35,3,4.67,2,6.01,0,0
D17,3,4.18,0,7.24,0,0
D38,3,4.77,0,8.66,0,1
D28,3,1.84,3,8.59,0,0
D38,3,4.52,2,9.27,0,0
D26,3,4.32,0,6.95,0,0
D24,3,2.36,2,15.07,0,0
D15,3,2.05,1,13.97,0,1
D9,3,4.82,0,10.41,0,0
D33,3,2.61,0,12.37,0,1
D32,3,6.65,2,5.22,0,0
D6,3,1.47,4,12.3,0,0
D4,3,2.52,3,14.95,0,0
D8,3,5.3,2,5.9,0,0
D10,3,3.41,0,6.4,0,0
D11,3,5.73,2,8.1,0,0
D28,3,3.1,0,10.51,0,0
D39,3,2.34,0,9.7,0,0
D5,3,2.83,3,12.14,0,0
D25,3,4.86,1,9.16,0,0
D25,3,5.27,1,6.03,1,0
D39,3,4.2,0,10.07,0,0
D30,3,4.2,0,8.59,0,1
D34,3,0.55,2,11.82,0,0
D17,3,3.9,0,7.49,1,0
D36,3,2.21,0,10.5,0,0
D1,3,2.35,0,9.44,0,0
D8,3,4.45,1,5.8,0,0
D35,4,5.98,2,4.53,0,0
D18,4,4.26,0,7.58,0,0
D22,4,3.48,1,8.37,0,0
D8,4,5.58,1,7.31,0,0
D19,4,1.71,0,10.2,0,0
D28,4,2.15,0,9.35,0,0
D11,4,5.97,2,8.6,0,0
D30,4,3.84,0,9.3,0,0
D1,4,3.74,0,11.91,1,0
D17,4,4.64,0,6.76,0,0
D33,4,1.59,2,10.27,0,0
D12,4,3.31,1,9.92,0,0
D33,4,2.37,2,12.42,0,0
D7,4,2.39,0,8.2,0,0
D20,4,3.48,1,7.8,0,0
D33,4,1.9,0,11.19,0,1
D39,4,3.81,0,9.42,0,0
D13,4,2.42,0,12.43,0,1
D10,4,5.37,1,6.4,0,0
D24,4,2.82,1,12.51,0,0
D11,4,4.67,2,7.3,0,0
D35,4,6.43,2,5.62,0,0
D34,4,2.23,3,11.56,0,1
D1,4,1.82,0,11.14,0,0
D39,4,3.77,1,10.08,0,0
D21,4,3.06,3,12.8,0,0
D32,4,7.97,1,3.88,0,0
D2,4,4.11,0,11.01,0,0
D8,4,3.22,2,8.5,0,0
D24,4,1.86,6,12.09,0,0
D20,5,6.59,3,6.49,1,0
D16,5,2.04,2,14.19,0,0
D4,5,2.6,2,7.36,0,0
D16,5,1.82,1,8.99,0,0
D37,5,2.82,0,10.7,0,0
D6,5,1.29,2,13.03,0,1
D6,5,3.8,0,12.12,0,0
D32,5,6.49,1,4.56,0,0
D5,5,2.97,2,6.68,0,0
D35,5,5.19,2,3.62,0,0
D9,5,2.93,0,10.03,0,0
D9,5,2.58,0,10.49,0,0
D31,5,7.41,4,3.46,0,0
D36,5,3.26,0,8.75,1,0
D11,5,3.11,1,6.83,0,0
D17,5,6.25,1,4.83,1,0
D34,5,2.68,2,11.94,0,0
D39,5,1.92,0,10.74,0,1
D28,5,1.97,0,10.1,0,0
D14,5,3.16,0,9.02,0,0
D35,5,6.13,0,4.93,0,0
D13,5,3.2,0,10.98,0,0
D20,5,4.84,1,7.81,0,0
D26,5,4.65,1,7.2,0,0
D24,5,2.94,2,10.23,0,1
D29,5,1.4,0,13.4,0,0
D34,5,2.0,3,10.68,0,0
D29,5,3.38,1,11.91,0,0
D8,5,3.91,1,7.93,0,0
D16,5,1.08,5,11.55,0,0
D15,6,0.93,2,11.88,0,1
D5,6,2.19,1,9.45,0,0
D22,6,4.96,2,7.68,0,0
D2,6,1.88,0,10.5,0,0
D38,6,5.68,0,6.69,0,0
D36,6,2.48,0,11.04,1,0
D15,6,2.06,5,14.13,0,0
D38,6,3.97,2,9.03,0,0
D15,6,1.3,1,9.9,0,1
D1,6,1.45,0,8.79,0,1
D5,6,2.69,3,11.57,1,0
D4,6,2.12,2,12.98,0,0
D15,6,2.39,1,10.75,1,0
D5,6,1.74,2,9.65,0,0
D3,6,6.72,2,2.96,0,0
D22,6,5.54,1,8.08,0,0
D5,6,2.62,1,10.1,0,0
D33,6,0.44,3,10.26,0,0
D16,6,2.17,7,12.61,0,0
D18,6,4.63,1,6.17,0,0
D32,6,6.29,4,4.48,0,0
D14,6,2.75,1,10.22,1,0
D35,6,7.13,2,4.67,0,0
D9,6,2.71,0,10.17,0,0
D37,6,2.55,1,10.38,0,0
D37,6,4.25,0,9.93,0,0
D31,6,5.29,3,4.3,0,0
D16,6,1.84,3,9.71,0,1
D31,6,7.42,1,4.27,0,0
D27,6,7.47,3,4.14,0,0
D13,7,3.37,0,10.61,0,0
D7,7,3.16,1,10.71,0,0
D7,7,2.46,0,11.8,0,0
D28,7,1.73,1,10.56,0,0
D23,7,4.32,2,6.82,0,0
D28,7,2.23,0,9.95,1,0
D27,7,8.84,2,4.54,0,0
D30,7,4.24,0,6.83,0,0
D4,7,2.14,2,9.87,0,0
D7,7,4.12,0,10.92,1,0
D4,7,3.27,5,12.72,1,0
D26,7,4.8,1,8.32,0,0
D22,7,3.97,2,6.47,0,0
D7,7,3.03,0,10.12,0,0
D16,7,2.76,3,11.78,0,1
D13,7,1.75,0,12.0,0,0
D13,7,2.86,0,10.88,0,0
D35,7,6.97,2,3.31,0,0
D29,7,1.61,3,10.66,0,0
D9,7,3.62,0,7.15,0,0
D28,7,3.3,0,9.91,0,0
D12,7,2.63,1,10.35,0,0
D18,7,5.08,0,5.72,0,0
D30,7,5.14,1,6.12,0,0
D16,7,2.59,5,14.45,0,0
D5,7,2.03,1,10.62,0,0
D29,7,1.87,1,12.9,0,1
D36,7,3.11,1,10.45,0,0
D7,7,2.3,0,10.4,0,0
D4,7,2.43,1,9.89,0,0
D35,8,6.17,7,4.86,0,1
D1,8,3.88,0,11.19,0,0
D6,8,1.46,2,12.59,1,0
D16,8,2.22,4,12.84,0,0
D11,8,5.28,2,8.08,0,0
D27,8,5.26,3,3.2,0,0
D32,8,8.0,3,5.65,0,0
D31,8,4.97,5,2.99,1,0
D14,8,3.61,0,10.28,1,0
D26,8,4.81,0,7.55,0,0
D4,8,1.31,2,9.79,0,0
D11,8,3.96,0,5.85,0,0
D25,8,4.67,1,6.11,0,0
D1,8,2.98,1,10.55,0,0
D25,8,4.68,2,7.98,0,0
D17,8,6.15,1,6.7,0,0
D30,8,5.36,2,6.88,0,0
D19,8,2.05,0,10.31,0,0
D28,8,3.98,0,11.62,0,0
D36,8,2.93,1,12.58,0,0
D32,8,8.04,2,4.09,0,0
D10,8,3.38,0,7.56,0,0
D13,8,2.53,0,8.99,0,0
D19,8,2.39,1,10.03,0,0
D14,8,3.37,0,12.12,0,0
D4,8,3.17,1,12.84,0,1
D38,8,5.1,0,6.52,0,0
D35,8,7.94,4,4.33,0,0
D4,8,2.85,2,12.28,0,0
D21,8,2.35,1,13.16,0,0
D4,9,1.51,3,11.52,0,0
D4,9,2.59,3,12.06,1,0
D38,9,4.19,4,8.54,0,0
D31,9,6.82,4,3.82,0,1
D33,9,3.73,1,11.4,0,0
D34,9,1.74,0,10.02,0,0
D11,9,4.69,2,7.9,0,0
D4,9,2.2,1,10.41,0,0
D33,9,1.52,1,11.87,0,1
D6,9,1.61,0,11.18,0,0
D12,9,2.69,0,10.17,1,0
D5,9,0.93,3,13.82,1,0
D39,9,2.59,0,8.83,0,0
D5,9,1.6,0,6.82,0,0
D16,9,2.08,1,9.76,0,1
D26,9,4.01,1,6.97,0,0
D8,9,3.81,0,6.96,0,0
D37,9,1.9,0,8.39,0,0
D16,9,2.8,1,9.76,0,0
D38,9,4.54,4,8.29,0,0
D39,9,3.37,0,9.32,0,0
D3,9,6.52,0,4.27,0,0
D40,9,4.93,3,3.75,0,0
D6,9,2.83,1,13.44,0,1
D27,9,7.28,2,3.96,0,0
D38,9,5.27,1,8.59,1,0
D37,9,4.16,1,11.8,0,0
D34,9,2.39,1,11.58,0,0
D21,9,2.41,1,12.3,0,0
D17,9,3.66,4,7.91,0,0
D14,10,3.39,1,10.73,0,0
D21,10,2.28,2,10.7,0,0
D16,10,3.61,2,14.15,0,0
D17,10,6.29,0,7.67,0,0
D26,10,5.83,1,6.07,0,0
D9,10,3.21,0,8.6,0,0
D20,10,6.2,1,6.39,0,0
D30,10,3.92,2,7.95,0,0
D21,10,1.43,4,7.81,0,0
D5,10,0.93,1,14.53,0,0
D1,10,2.55,0,10.18,0,0
D30,10,6.33,2,8.26,0,0
D40,10,6.03,4,4.35,0,0
D37,10,2.33,0,9.86,0,0
D7,10,2.18,0,11.85,0,0
D5,10,2.8,2,11.39,0,0
D35,10,6.34,2,3.03,0,0
D14,10,2.7,1,10.4,0,0
D33,10,2.14,3,11.24,0,0
D17,10,5.4,2,6.43,0,0
D9,10,2.3,1,9.17,0,0
D23,10,6.19,0,7.03,0,0
D5,10,2.07,2,9.74,0,0
D16,10,2.05,1,13.03,0,0
D24,10,2.56,1,9.49,0,1
D19,10,1.71,0,11.16,0,0
D11,10,5.33,2,6.85,0,0
D29,10,2.12,1,11.27,0,0
D35,10,6.64,3,5.7,0,0
D20,10,4.82,0,8.37,0,0
D40,11,5.41,3,4.37,0,0
D34,11,1.75,3,13.02,0,0
D1,11,3.07,0,10.88,0,0
D36,11,2.66,2,11.15,0,0
D20,11,5.36,2,8.37,1,0
D7,11,3.39,1,9.15,0,0
D9,11,2.73,0,9.6,1,0
D17,11,4.8,1,5.84,1,0
D8,11,5.52,2,7.01,0,0
D7,11,2.85,0,10.99,0,0
D36,11,4.43,1,10.22,0,0
D10,11,5.27,2,7.3,0,0
D18,11,2.88,2,6.39,0,0
D19,11,2.55,0,9.59,0,0
D39,11,3.97,0,11.52,0,0
D14,11,3.03,0,10.14,0,0
D22,11,4.54,0,7.2,0,0
D14,11,2.59,0,10.78,0,0
D17,11,4.0,0,6.32,0,0
D33,11,2.51,3,13.33,0,0
D32,11,4.42,4,2.6,0,0
D17,11,5.33,0,7.19,0,0
D4,11,2.14,1,12.63,1,0
D6,11,2.62,2,10.95,0,0
D28,11,2.82,0,9.65,0,0
D18,11,3.39,0,7.78,0,0
D3,11,7.07,2,6.59,0,0
D1,11,3.07,2,9.53,0,0
D22,11,4.07,0,7.24,1,0
D9,11,3.52,0,12.69,0,0
D17,12,5.51,2,8.37,0,0
D11,12,3.83,1,7.94,0,0
D29,12,2.3,4,12.29,0,0
D36,12,2.51,0,9.96,0,1
D28,12,2.82,0,7.93,0,0
D36,12,3.07,0,8.54,0,0
D1,12,3.87,0,9.42,0,0
D8,12,4.84,0,7.67,0,0
D5,12,2.07,4,7.68,0,0
D10,12,3.2,3,5.42,0,1
D35,12,5.56,1,5.11,0,0
D3,12,5.77,2,4.07,0,0
D24,12,2.36,3,11.66,0,0
D38,12,5.05,2,7.92,1,0
D36,12,2.09,0,10.11,0,0
D10,12,7.68,0,6.51,0,0
D28,12,4.01,0,9.13,0,0
D9,12,4.47,0,9.25,0,0
D3,12,7.43,4,4.71,0,0
D20,12,6.59,1,7.78,0,0
D24,12,1.32,0,11.14,0,0
D3,12,5.48,1,4.75,0,0
D23,12,3.61,3,6.57,0,0
D14,12,3.44,0,10.01,0,0
D16,12,1.23,0,11.28,0,0
D7,12,3.45,0,9.7,1,0
D23,12,5.08,4,8.06,0,0
D36,12,2.04,0,10.14,0,0
D27,12,5.82,1,6.19,0,0
D40,12,4.78,3,4.09,0,0
D10,13,4.79,2,9.33,0,0
D16,13,1.14,1,12.99,0,0
D11,13,5.16,2,7.56,0,0
D12,13,2.47,2,10.87,0,1
D27,13,7.09,2,4.99,0,0
D2,13,3.19,0,7.58,0,0
D12,13,2.96,1,10.29,0,1
D22,13,4.8,2,6.85,1,0
D27,13,5.82,3,6.04,0,0
D16,13,2.67,0,14.2,0,0
D18,13,4.37,0,7.86,1,0
D11,13,4.37,0,7.95,0,0
D7,13,2.49,1,10.43,0,0
D25,13,5.26,0,8.16,0,0
D3,13,4.32,0,3.41,0,0
D31,13,4.07,0,5.25,0,0
D15,13,1.87,0,12.17,0,0
D13,13,2.38,2,9.06,1,0
D30,13,3.37,3,6.96,0,0
D23,13,4.92,3,8.09,0,0
D20,13,5.84,2,7.56,0,0
D15,13,1.98,1,8.46,0,0
D15,13,1.42,0,14.24,0,0
D2,13,3.76,0,8.97,0,0
D13,13,3.66,0,9.13,0,0
D26,13,5.73,0,6.51,0,0
D22,13,5.85,1,6.86,0,0
D18,13,2.56,2,6.87,0,0
D5,13,2.13,4,12.14,0,0
D18,13,4.86,2,6.55,0,0
D23,14,3.58,0,5.6,0,0
D33,14,2.23,2,12.6,1,0
D26,14,5.97,0,8.6,0,0
D35,14,5.01,3,6.25,1,0
D22,14,4.46,0,6.84,0,0
D2,14,1.78,0,8.87,0,0
D8,14,2.44,1,6.81,0,0
D17,14,5.02,1,7.55,0,0
D12,14,3.35,0,10.02,0,0
D38,14,4.74,1,7.21,0,0
D17,14,2.84,1,7.26,0,0
D3,14,6.55,2,5.8,0,0
D7,14,2.92,1,8.36,0,1
D39,14,3.02,1,10.23,0,0
D28,14,2.7,0,9.68,0,0
D23,14,5.31,3,6.65,0,0
D21,14,1.82,2,8.33,0,0
D28,14,2.33,0,12.09,1,0
D39,14,3.0,0,8.37,0,0
D33,14,1.87,2,14.75,0,0
D8,14,5.45,0,7.37,1,0
D25,14,3.38,2,7.48,0,1
D37,14,3.44,3,9.42,1,0
D13,14,2.93,0,8.76,0,0
D17,14,4.04,2,7.47,0,0
D3,14,6.5,1,4.91,0,0
D28,14,3.38,0,10.71,0,0
D1,14,4.68,0,9.75,0,0
D34,14,1.06,5,8.79,0,0
D35,14,7.26,1,3.88,1,0
D13,15,1.78,0,10.03,0,0
D24,15,1.72,4,13.37,0,0
D28,15,3.62,2,9.71,0,0
D5,15,0.98,1,11.98,0,0
D22,15,2.4,2,7.2,0,0
D40,15,4.85,2,5.62,0,0
D21,15,2.24,0,11.03,0,0
D8,15,4.27,0,5.98,0,0
D20,15,5.68,2,5.85,0,0
D33,15,2.6,1,13.16,1,0
D20,15,6.46,1,5.28,0,0
D27,15,6.28,2,4.63,0,0
D21,15,2.74,1,10.0,0,0
D26,15,5.61,3,6.82,1,0
D19,15,3.53,0,10.42,0,0
D36,15,1.96,2,8.78,0,0
D9,15,3.0,0,10.67,0,0
D13,15,2.43,0,11.44,0,0
D27,15,4.28,4,4.84,0,0
D25,15,4.81,3,7.22,0,0
D12,15,2.11,1,8.99,0,0
D40,15,6.91,2,7.13,0,0
D37,15,1.58,0,10.41,0,0
D20,15,6.22,1,6.13,0,0
D26,15,6.81,0,6.34,0,0
D36,15,3.13,0,10.5,0,0
D1,15,4.22,0,9.51,0,0
D20,15,5.34,0,6.95,0,0
D19,15,4.21,0,9.39,0,0
D14,15,1.8,0,9.35,0,0
D28,16,3.76,1,8.71,0,0
D38,16,5.04,0,7.07,0,0
D39,16,1.96,0,10.83,1,0
D21,16,2.83,2,14.03,0,0
D30,16,5.67,1,7.22,0,0
D29,16,1.84,2,11.91,1,0
D29,16,1.73,2,12.84,0,0
D14,16,3.18,1,9.63,0,0
D33,16,3.22,2,14.76,0,0
D31,16,6.08,0,5.85,0,0
D11,16,4.2,0,6.05,0,0
D6,16,3.13,0,13.99,1,0
D19,16,3.4,1,10.47,0,0
D33,16,2.61,1,13.77,0,1
D40,16,6.79,1,7.64,1,0
D22,16,4.77,1,8.45,0,0
D6,16,3.39,1,10.47,0,0
D16,16,1.73,2,11.91,0,1
D20,16,5.25,1,6.62,0,0
D15,16,2.38,3,9.92,0,0
D13,16,3.08,0,8.34,0,0
D10,16,5.48,0,7.55,1,1
D2,16,2.08,0,8.64,1,0
D3,16,5.49,2,4.43,0,0
D16,16,2.12,3,12.33,0,0
D31,16,4.68,0,6.02,0,0
D40,16,6.7,1,6.2,0,0
D5,16,1.5,0,9.48,0,0
D30,16,3.7,0,7.48,0,0
D27,16,6.74,1,7.37,0,0
D37,17,2.31,0,10.53,0,0
D13,17,3.44,0,12.22,0,0
D25,17,4.29,2,6.4,1,0
D32,17,2.96,0,5.62,0,0
D26,17,7.62,2,5.89,0,0
D16,17,2.87,3,12.26,0,0
D10,17,5.33,2,6.7,0,0
D1,17,2.97,0,10.06,0,0
D7,17,3.4,0,10.04,0,0
D28,17,3.96,0,9.51,1,0
D15,17,1.25,1,10.62,0,0
D12,17,4.41,0,9.72,0,0
D34,17,2.46,1,9.72,0,0
D30,17,4.46,5,6.89,0,0
D4,17,2.98,1,13.4,1,0
D36,17,3.16,0,10.31,0,0
D16,17,3.31,1,14.22,0,0
D8,17,4.37,0,5.99,0,0
D30,17,5.21,1,7.71,0,0
D9,17,3.41,1,11.03,0,0
D30,17,5.36,1,7.36,0,0
D34,17,2.32,3,9.27,0,0
D36,17,3.21,0,9.46,0,0
D39,17,2.73,0,10.49,0,0
D21,17,2.48,6,11.4,0,0
D29,17,2.81,4,10.38,0,0
D40,17,5.6,2,5.23,0,0
D33,17,2.93,0,13.26,0,0
D28,17,4.61,1,11.02,0,1
D36,17,2.72,0,11.56,0,0
D29,18,2.49,3,12.32,1,1
D11,18,6.38,2,7.29,0,0
D31,18,4.5,1,6.92,0,0
D29,18,2.71,1,14.68,0,0
D17,18,5.56,1,6.12,0,0
D16,18,3.09,5,13.71,0,0
D18,18,5.39,1,6.8,0,0
D34,18,1.95,0,11.1,0,0
D32,18,5.89,1,6.24,1,0
D16,18,1.37,2,13.99,1,0
D18,18,4.97,1,7.45,0,0
D29,18,1.86,0,10.51,0,0
D5,18,0.79,0,11.54,0,0
D19,18,2.95,0,10.48,0,0
D16,18,1.29,0,10.48,0,0
D18,18,4.54,0,7.18,0,0
D22,18,5.88,0,6.62,0,0
D21,18,2.4,1,8.43,0,0
D35,18,5.91,1,4.44,0,0
D6,18,2.64,0,10.9,0,0
D9,18,3.43,0,11.64,0,0
D10,18,5.39,3,5.07,0,0
D15,18,1.96,3,15.41,0,0
D25,18,6.82,1,6.47,1,0
D10,18,6.9,1,8.63,0,0
D14,18,4.18,0,8.83,0,0
D5,18,1.36,2,10.57,1,1
D27,18,4.46,2,5.66,0,0
D27,18,5.96,0,5.91,0,0
D22,18,5.41,0,6.69,0,0
D35,19,5.78,2,5.9,0,0
D30,19,5.3,1,5.76,0,0
D27,19,5.77,1,5.33,0,0
D4,19,0.08,5,11.0,0,0
D14,19,3.11,0,7.87,1,0
D27,19,4.83,0,5.52,0,0
D25,19,5.04,0,6.96,0,0
D38,19,5.58,1,5.78,0,0
D2,19,4.14,0,9.39,0,0
D37,19,3.55,1,11.85,0,0
D25,19,5.43,2,7.97,0,1
D31,19,5.99,1,5.72,0,0
D1,19,3.27,0,10.53,0,1
D23,19,6.21,3,8.14,0,0
D20,19,6.0,1,6.53,0,1
D25,19,5.65,2,5.52,0,0
D27,19,7.56,5,5.15,0,0
D35,19,6.12,1,4.4,1,0
D35,19,5.21,1,6.11,0,0
D39,19,2.33,1,8.12,0,0
D15,19,1.96,2,8.3,0,0
D32,19,6.39,2,5.63,1,0
D15,19,3.34,2,13.62,0,0
D18,19,4.88,1,7.09,0,1
D28,19,4.21,0,10.6,0,0
D32,19,3.74,3,6.1,1,0
D2,19,2.66,0,9.85,0,0
D25,19,5.89,2,5.33,0,0
D22,19,2.84,0,6.67,0,0
D26,19,3.48,1,4.17,0,0
D11,20,4.99,3,7.75,1,0
D30,20,4.89,2,6.63,0,1
D9,20,4.38,0,10.5,0,0
D40,20,6.01,1,5.76,0,0
D35,20,6.56,2,5.26,0,0
D2,20,2.14,0,8.21,0,0
D26,20,3.8,0,6.6,0,0
D38,20,4.2,3,6.31,0,1
D37,20,3.28,2,9.74,0,0
D2,20,3.16,0,11.63,0,0
D6,20,1.79,4,12.55,1,0
D28,20,2.95,0,11.22,0,0
D9,20,2.82,0,9.91,0,1
D30,20,5.31,5,7.02,0,0
D12,20,4.32,0,11.07,0,1
D4,20,2.31,1,9.7,0,0
D17,20,4.67,1,6.66,1,0
D25,20,4.56,0,6.38,0,0
D21,20,1.66,0,10.78,0,1
D14,20,2.7,2,9.49,0,0
D30,20,3.49,0,7.92,0,0
D21,20,1.53,0,14.01,0,0
D22,20,5.04,0,7.44,0,0
D25,20,5.16,1,7.38,0,0
D18,20,4.41,0,7.66,0,1
D27,20,5.29,2,4.7,0,0
D17,20,4.99,1,6.34,0,0
D6,20,2.18,2,9.63,0,0
D31,20,4.25,1,3.85,0,0
D2,20,2.24,0,10.61,0,0
D35,21,5.01,0,6.29,0,0
D4,21,2.68,3,13.03,0,0
D23,21,4.27,0,7.42,1,0
D15,21,2.42,3,14.23,0,0
D5,21,0.71,2,10.43,1,0
D3,21,5.54,1,6.96,0,0
D2,21,2.24,1,9.32,0,0
D16,21,2.63,2,12.9,0,0
D13,21,1.62,0,11.83,0,0
D2,21,2.16,0,10.76,0,0
D40,21,6.39,0,6.01,0,0
D10,21,5.78,0,6.96,0,0
D16,21,1.87,0,11.36,0,0
D9,21,1.98,0,10.19,0,1
D31,21,6.94,1,7.63,0,0
D8,21,5.63,1,6.76,0,0
D37,21,4.52,1,10.24,0,0
D14,21,2.91,0,10.25,0,0
D30,21,6.66,1,7.97,0,0
D17,21,5.67,0,8.94,0,0
D24,21,1.47,3,12.57,0,0
D11,21,4.17,0,5.77,0,0
D39,21,3.06,0,10.55,0,0
D39,21,4.13,0,8.41,0,0
D8,21,4.37,0,6.71,1,0
D11,21,6.54,4,6.62,0,0
D20,21,3.85,0,8.14,0,0
D7,21,4.39,0,10.7,0,0
D38,21,7.23,2,6.53,0,0
D2,21,3.84,0,10.35,0,1
D20,22,4.95,1,6.02,0,0
D37,22,3.16,0,9.1,0,0
D25,22,7.51,1,6.44,0,0
D26,22,5.35,1,8.29,0,0
D13,22,3.48,0,9.08,0,0
D5,22,1.28,3,14.46,0,1
D38,22,5.02,3,6.12,0,0
D16,22,2.32,3,10.04,0,0
D7,22,1.56,0,8.64,0,0
D20,22,5.17,1,7.51,0,0
D39,22,1.56,0,11.49,0,0
D8,22,5.51,0,6.27,0,0
D37,22,3.8,0,10.25,0,0
D3,22,4.42,2,5.84,0,0
D23,22,5.32,1,5.31,1,0
D35,22,6.44,0,6.08,0,0
D28,22,3.39,0,10.57,1,0
D24,22,2.39,0,10.37,0,0
D5,22,2.48,4,12.25,1,0
D33,22,1.59,0,13.69,0,0
D22,22,4.45,2,6.85,0,0
D1,22,3.26,0,11.21,0,0
D27,22,5.68,2,6.86,1,0
D32,22,3.9,2,6.27,0,0
D7,22,3.11,0,11.59,0,0
D28,22,2.03,0,9.79,0,0
D24,22,1.91,2,10.88,0,0
D30,22,4.81,0,6.47,0,0
D10,22,5.16,1,8.02,0,0
D28,22,3.14,0,8.66,0,1
D12,23,2.61,0,10.82,0,0
D34,23,2.04,1,9.88,1,0
D18,23,5.98,0,4.89,0,0
D40,23,4.05,1,7.61,0,0
D35,23,5.27,1,6.35,0,0
D31,23,5.78,1,6.88,1,0
D30,23,4.71,5,5.08,0,0
D28,23,2.52,0,11.08,0,0
D38,23,6.04,1,6.87,0,0
D18,23,6.28,1,4.78,1,0
D21,23,1.32,0,15.26,0,1
D16,23,2.96,2,9.66,0,0
D6,23,1.93,2,9.52,0,0
D18,23,6.2,1,6.38,0,0
D29,23,2.46,2,13.66,0,0
D16,23,2.24,1,17.02,0,0
D30,23,6.25,2,6.51,0,0
D37,23,3.46,1,7.49,0,0
D40,23,6.1,2,6.02,0,0
D25,23,4.34,1,6.68,0,0
D22,23,7.12,1,8.33,0,0
D2,23,3.06,0,8.71,0,0
D32,23,6.5,2,7.02,0,0
D21,23,3.61,5,9.04,0,0
D12,23,3.27,0,9.77,0,0
D32,23,5.16,1,6.99,0,0
D14,23,2.35,0,8.31,1,0
D23,23,5.43,5,6.79,0,0
D17,23,3.63,1,7.35,0,0
D22,23,4.17,1,7.76,0,0
D18,24,4.76,3,7.74,1,0
D39,24,2.6,0,9.82,0,0
D18,24,5.99,1,6.41,0,0
D36,24,2.55,0,10.42,1,0
D1,24,3.01,0,7.91,0,0
D34,24,2.69,1,10.77,1,0
D13,24,3.96,2,10.78,0,0
D6,24,2.72,3,13.74,0,0
D16,24,2.83,1,11.83,0,0
D27,24,5.68,1,5.07,0,0
D32,24,5.61,0,6.76,0,0
D36,24,2.22,1,11.41,0,0
D16,24,2.05,2,12.37,1,0
D31,24,4.56,0,7.27,0,0
D32,24,5.02,1,6.14,0,0
D29,24,2.01,1,14.1,1,0
D2,24,3.17,0,9.44,0,0
D6,24,1.56,3,13.17,0,0
D19,24,1.39,0,10.15,1,0
D15,24,1.84,0,13.24,0,0
D26,24,4.29,0,7.52,0,0
D16,24,1.92,0,13.48,0,0
D20,24,6.43,1,5.53,0,1
D38,24,6.93,3,5.87,0,0
D24,24,2.19,3,11.96,0,1
D31,24,4.1,0,7.22,0,0
D36,24,2.58,1,11.03,0,0
D34,24,2.16,1,9.35,0,0
D23,24,5.66,1,7.24,1,0
D28,24,2.15,0,8.94,0,0
D36,25,3.25,0,9.11,0,0
D22,25,5.49,1,6.53,1,0
D23,25,5.55,1,6.47,0,0
D30,25,5.11,2,5.36,0,0
D18,25,4.11,0,7.51,0,0
D20,25,5.79,0,8.3,0,0
D17,25,3.74,0,5.21,0,1
D15,25,1.91,0,12.82,0,0
D8,25,4.6,2,7.27,0,0
D13,25,2.7,3,9.67,0,0
D21,25,1.13,2,9.78,0,0
D8,25,4.03,0,6.69,0,0
