sprint_id,task_id,developer_id,required_skill,developer_skill_score,experience_years,story_points,task_complexity,priority,current_workload,historical_success_rate,estimated_hours,actual_hours,completed,bugs_found,rework_count,velocity_contribution
18,23,3,devops,0.39,2,8,10,Medium,0.31,0.6,24,28.7,1,3,2,8
14,24,4,java,0.57,1,1,3,High,0.75,0.53,3,3.0,1,1,0,1
14,25,8,testing,0.74,7,13,10,Low,0.53,0.78,26,36.0,0,1,0,6
24,26,6,testing,0.63,7,1,1,Medium,0.51,0.92,2,1.8,1,0,0,1
18,27,8,python,0.65,7,5,5,High,0.53,0.78,15,22.7,0,1,0,3
3,28,8,testing,0.74,7,8,7,Low,0.41,0.99,32,39.3,1,0,0,8
18,29,14,java,0.5,6,1,1,Medium,0.52,0.77,3,3.4,1,0,0,1
16,30,8,python,0.65,7,5,4,Medium,0.42,0.85,15,19.4,1,1,0,5
1,31,7,react,0.13,5,5,6,Critical,0.39,0.67,20,21.8,0,4,2,0
22,32,12,spring,0.32,8,2,2,High,0.61,0.73,4,5.5,0,0,0,1
19,33,12,sql,0.65,8,1,2,Low,0.77,0.94,2,2.0,0,0,0,0
17,34,15,testing,0.33,1,8,8,Low,0.56,0.54,32,39.8,0,1,0,6
6,35,2,sql,0.28,2,1,1,Critical,0.8,0.55,2,2.8,0,0,0,0
19,36,10,java,0.42,2,8,7,Critical,0.75,0.53,32,43.1,0,1,1,2
9,37,4,devops,0.18,1,13,10,Medium,0.67,0.48,39,51.2,0,3,2,6
5,38,11,devops,0.47,6,3,5,High,0.58,0.74,6,9.5,0,1,1,2
15,39,10,sql,0.5,2,1,1,Medium,0.65,0.63,4,5.3,0,0,0,0
5,40,15,react,0.14,1,1,1,High,0.33,0.46,3,4.7,0,1,1,0
15,41,14,sql,0.38,6,13,10,Low,0.79,0.66,52,43.6,1,3,1,13
18,42,5,devops,0.44,1,1,1,High,0.59,0.61,2,2.1,1,0,0,1
4,43,12,sql,0.65,8,2,3,High,0.55,0.88,8,7.3,1,1,0,2
7,44,12,react,0.3,8,2,3,Critical,0.86,0.66,6,7.3,0,1,0,1
3,45,11,spring,0.83,6,3,2,Low,0.61,0.91,9,8.7,1,0,0,3
25,46,3,devops,0.39,2,3,3,Critical,0.53,0.58,12,12.7,1,1,0,3
23,47,7,sql,0.53,5,1,1,Low,0.5,0.73,4,4.3,1,0,0,1
5,48,9,java,0.22,4,3,3,Critical,0.66,0.61,6,8.2,0,2,1,2
10,49,6,testing,0.63,7,1,2,Medium,0.51,0.91,4,4.7,1,0,0,1
8,50,11,java,0.65,6,3,5,Medium,0.63,0.84,6,7.2,0,1,0,2
6,51,15,spring,0.29,1,1,1,High,0.54,0.48,3,4.1,0,1,0,0
9,52,3,testing,0.82,2,13,10,Critical,0.31,0.81,26,30.9,0,1,1,5
8,53,4,testing,0.41,1,5,6,High,0.74,0.47,10,16.8,0,2,0,3
1,54,11,python,0.58,6,5,6,High,0.64,0.75,10,10.4,0,2,1,2
12,55,11,sql,0.1,6,5,6,Low,0.89,0.53,10,15.7,0,1,0,2
6,56,10,react,0.8,2,1,1,Critical,0.7,0.74,3,4.1,0,0,0,0
14,57,10,sql,0.5,2,1,3,Medium,0.66,0.59,3,4.4,0,0,0,0
23,58,7,java,0.33,5,8,8,High,0.4,0.7,24,25.8,0,0,0,6
22,59,15,react,0.14,1,8,9,Low,0.88,0.48,32,43.9,0,5,2,3
17,60,5,devops,0.44,1,5,6,Critical,0.83,0.54,20,29.3,0,2,0,2
18,61,3,python,0.27,2,5,7,Medium,0.9,0.54,20,20.7,0,2,1,0
10,62,7,sql,0.53,5,1,2,High,0.69,0.6,2,3.3,0,1,1,0
19,63,10,devops,0.4,2,3,5,Critical,0.4,0.52,9,12.1,0,2,1,0
7,64,9,spring,0.5,4,13,10,Low,0.85,0.57,39,41.6,1,1,0,13
17,65,11,devops,0.47,6,8,9,Low,0.48,0.74,16,24.4,0,1,0,3
8,66,13,python,0.27,2,2,1,Low,0.5,0.52,4,3.9,1,0,0,2
16,67,10,testing,0.5,2,1,3,Critical,0.46,0.74,4,4.0,1,1,0,1
19,68,4,devops,0.18,1,13,10,Critical,0.8,0.4,39,48.9,0,2,1,9
5,69,11,devops,0.47,6,1,1,Critical,0.55,0.66,2,2.5,1,0,0,1
6,70,13,devops,0.43,2,8,10,Low,0.8,0.51,32,60.9,0,0,0,4
4,71,8,python,0.65,7,5,6,Critical,0.85,0.71,20,20.7,1,1,0,5
24,72,15,sql,0.55,1,5,7,Medium,0.46,0.6,20,33.1,0,2,1,1
15,73,5,testing,0.47,1,2,3,Critical,0.81,0.55,8,9.6,0,1,0,1
9,74,8,java,0.34,7,13,10,Medium,0.58,0.68,39,59.2,0,2,1,7
11,75,15,sql,0.55,1,1,1,Medium,0.99,0.48,2,2.2,1,0,0,1
13,76,12,python,0.36,8,13,10,Low,0.58,0.73,39,39.3,1,2,1,13
14,77,6,sql,0.63,7,5,7,Low,0.5,0.83,10,11.9,0,2,1,1
13,78,15,testing,0.33,1,8,7,Critical,0.52,0.51,24,32.8,0,2,0,7
12,79,5,testing,0.47,1,5,7,Medium,0.79,0.52,15,21.8,0,1,0,3
9,80,7,spring,0.49,5,1,3,High,0.57,0.7,4,5.9,0,0,0,0
24,81,3,testing,0.82,2,5,5,Low,0.35,0.75,15,15.1,1,0,0,5
19,82,10,devops,0.4,2,1,1,Critical,0.54,0.63,2,2.9,0,0,0,0
6,83,1,react,0.45,5,5,6,Medium,0.91,0.67,15,19.7,0,3,0,2
11,84,13,spring,0.65,2,3,5,High,0.68,0.67,6,6.1,1,1,1,3
16,85,1,devops,0.56,5,8,7,High,0.62,0.75,16,14.8,1,0,0,8
21,86,2,testing,0.31,2,13,10,Low,0.75,0.57,26,39.2,0,2,1,9
1,87,10,python,0.47,2,2,2,Critical,0.59,0.51,8,9.3,0,0,0,1
19,88,4,spring,0.52,1,13,10,High,0.37,0.63,26,39.0,0,3,1,3
20,89,12,devops,0.57,8,1,1,High,0.25,0.81,2,2.4,1,0,0,1
19,90,1,react,0.45,5,8,10,Critical,0.82,0.66,32,40.6,0,1,1,4
3,91,10,devops,0.4,2,13,10,Low,0.5,0.6,52,65.7,0,4,1,0
10,92,14,devops,0.39,6,8,7,Low,0.88,0.63,24,27.3,1,2,1,8
18,93,7,devops,0.51,5,3,2,High,0.48,0.75,6,8.0,1,0,0,3
14,94,14,spring,0.29,6,1,3,High,0.68,0.69,4,5.9,0,0,0,0
23,95,3,spring,0.4,2,2,3,Critical,0.64,0.7,6,6.1,1,1,1,2
14,96,14,devops,0.39,6,8,9,High,0.97,0.67,16,19.3,0,3,1,6
9,97,15,spring,0.29,1,2,4,Critical,0.73,0.57,6,7.5,0,2,1,1
16,98,14,react,0.55,6,2,4,Medium,1.0,0.73,6,5.8,1,1,0,2
9,99,6,react,0.1,7,8,9,Low,0.57,0.56,32,33.7,0,6,1,4
3,100,4,devops,0.18,1,5,7,Medium,0.88,0.38,20,26.1,0,1,0,1
21,101,12,spring,0.32,8,5,4,Low,0.38,0.63,15,20.1,0,1,0,3
13,102,12,python,0.36,8,3,4,Critical,0.47,0.79,12,15.6,0,0,0,0
12,103,7,devops,0.51,5,8,9,High,0.45,0.87,32,32.3,1,3,0,8
15,104,5,react,0.26,1,3,3,Low,0.63,0.5,12,11.9,1,1,0,3
7,105,6,java,0.17,7,13,10,Medium,0.55,0.63,26,42.1,0,3,1,1
16,106,5,devops,0.44,1,8,9,Low,0.44,0.6,16,11.9,1,3,1,8
10,107,4,react,0.14,1,2,3,Low,0.51,0.51,8,9.8,1,0,0,2
18,108,3,react,0.2,2,1,1,High,0.67,0.48,4,3.1,1,0,0,1
5,109,11,testing,0.36,6,5,4,Low,0.78,0.69,20,28.6,0,1,0,2
16,110,8,spring,0.25,7,3,3,Low,0.53,0.63,9,12.7,0,1,1,1
4,111,14,java,0.5,6,5,7,Low,0.42,0.74,20,23.8,1,1,0,5
21,112,11,java,0.65,6,2,2,High,0.79,0.7,4,2.5,1,0,0,2
8,113,2,sql,0.28,2,5,5,Critical,0.96,0.45,15,21.3,0,1,1,1
10,114,14,sql,0.38,6,5,6,Low,0.59,0.76,20,21.1,1,2,0,5
24,115,2,testing,0.31,2,2,2,High,0.34,0.59,8,10.5,0,1,0,1
6,116,4,python,0.36,1,8,7,Medium,0.36,0.6,16,24.6,0,1,0,1
15,117,12,sql,0.65,8,5,6,Low,0.74,0.85,10,15.3,0,1,0,2
23,118,5,devops,0.44,1,5,4,Medium,0.62,0.6,15,18.6,0,0,0,0
22,119,13,python,0.27,2,5,4,Medium,0.65,0.53,20,24.3,0,1,0,3
9,120,14,python,0.24,6,1,1,Medium,0.89,0.55,3,2.5,1,0,0,1
20,121,12,testing,0.27,8,8,9,Critical,1.0,0.61,16,18.0,1,1,0,8
15,122,12,react,0.3,8,13,10,High,0.65,0.68,52,81.0,0,1,0,4
16,123,8,java,0.34,7,8,7,Critical,0.52,0.72,32,53.4,0,2,0,2
20,124,5,java,0.51,1,1,1,Low,0.74,0.6,4,5.8,0,0,0,0
19,125,1,testing,0.84,5,2,4,Critical,0.37,0.88,6,6.7,1,0,0,2
6,126,10,spring,0.34,2,13,10,Low,0.8,0.56,39,58.5,0,1,0,7
14,127,6,react,0.1,7,13,10,Medium,0.73,0.61,39,54.1,0,4,3,6
23,128,8,react,0.29,7,13,10,Low,0.73,0.66,39,52.4,0,5,3,11
11,129,5,react,0.26,1,1,3,Low,0.77,0.52,4,3.6,1,1,0,1
18,130,8,spring,0.25,7,1,1,High,0.46,0.75,4,5.3,0,0,0,0
21,131,8,testing,0.74,7,1,1,High,0.57,0.92,4,4.3,0,0,0,0
10,132,8,devops,0.5,7,5,4,Low,0.78,0.75,20,25.1,0,1,0,0
8,133,12,python,0.36,8,3,2,Critical,0.9,0.68,6,7.6,1,1,0,3
8,134,14,java,0.5,6,5,4,Medium,0.6,0.7,15,12.3,1,0,0,5
23,135,5,sql,0.35,1,13,10,Critical,0.51,0.54,39,54.3,0,4,1,5
8,136,8,sql,0.44,7,2,4,Medium,0.62,0.7,8,10.7,0,1,0,1
3,137,5,testing,0.47,1,5,6,High,0.77,0.56,10,14.4,0,1,0,2
24,138,5,testing,0.47,1,8,10,Medium,0.56,0.55,24,21.2,1,0,0,8
18,139,8,react,0.29,7,3,5,Critical,0.86,0.72,9,11.2,0,0,0,2
23,140,4,sql,0.62,1,5,5,Critical,0.52,0.61,10,16.3,0,0,0,2
24,141,8,devops,0.5,7,5,7,Medium,0.97,0.68,15,19.2,0,3,2,4
5,142,9,sql,0.28,4,3,2,Critical,0.75,0.62,6,7.9,0,0,0,0
15,143,1,devops,0.56,5,2,4,Medium,0.51,0.75,4,5.3,1,0,0,2
16,144,13,react,0.49,2,3,5,Low,0.2,0.63,9,11.4,0,1,0,0
18,145,7,react,0.13,5,13,10,Low,0.84,0.56,52,66.8,0,5,3,11
8,146,11,devops,0.47,6,3,3,Low,0.72,0.75,9,13.9,0,1,1,2
25,147,11,devops,0.47,6,1,3,Medium,0.86,0.68,4,4.1,1,1,0,1
10,148,15,java,0.6,1,1,2,Low,0.73,0.63,3,4.2,0,0,0,0
12,149,7,python,0.55,5,2,4,Medium,0.66,0.75,4,7.0,0,0,0,1
3,150,10,testing,0.5,2,5,5,Critical,0.75,0.6,20,29.2,0,0,0,3
8,151,8,devops,0.5,7,3,5,High,0.68,0.74,12,12.4,1,1,0,3
1,152,15,testing,0.33,1,5,6,Medium,0.32,0.61,10,12.5,0,2,0,1
12,153,10,react,0.8,2,13,10,High,0.72,0.8,39,52.2,0,1,0,8
7,154,7,testing,0.4,5,5,4,Medium,0.43,0.69,15,17.5,0,0,0,0
12,155,10,react,0.8,2,13,10,Low,0.78,0.65,52,78.4,0,0,0,6
9,156,1,sql,0.31,5,13,10,Critical,0.63,0.66,39,41.9,0,5,1,0
8,157,10,testing,0.5,2,3,3,Medium,0.53,0.62,12,12.8,1,0,0,3
9,158,11,testing,0.36,6,13,10,Low,0.82,0.63,52,73.4,0,4,2,2
2,159,5,testing,0.47,1,5,4,High,0.73,0.59,20,24.8,1,0,0,5
5,160,2,react,0.43,2,3,5,Medium,0.87,0.58,6,7.4,0,0,0,2
18,161,15,react,0.14,1,8,9,Medium,0.97,0.4,24,29.5,0,5,1,0
10,162,12,testing,0.27,8,3,2,Critical,0.6,0.71,6,5.5,1,1,0,3
5,163,13,python,0.27,2,13,10,High,0.21,0.63,26,37.1,0,0,0,0
13,164,1,react,0.45,5,8,7,Critical,0.6,0.67,24,32.4,0,2,1,3
19,165,7,testing,0.4,5,13,10,Low,0.44,0.68,52,70.5,0,2,0,9
16,166,1,sql,0.31,5,8,9,Medium,0.6,0.63,32,26.2,1,3,1,8
3,167,11,testing,0.36,6,5,6,Critical,0.6,0.66,10,11.0,1,0,0,5
5,168,1,java,0.67,5,3,5,Low,0.98,0.74,6,9.1,0,0,0,2
18,169,3,spring,0.4,2,5,6,Critical,0.76,0.62,20,27.7,0,2,1,3
14,170,11,java,0.65,6,5,7,High,0.58,0.81,10,8.8,1,2,0,5
23,171,6,python,0.63,7,5,7,Medium,0.56,0.85,15,18.7,0,1,0,4
22,172,6,sql,0.63,7,13,10,Low,0.48,0.88,39,52.9,0,1,0,8
7,173,2,testing,0.31,2,5,4,Medium,0.67,0.52,20,21.0,0,2,1,0
1,174,1,testing,0.84,5,3,3,Medium,0.31,0.84,12,12.5,1,0,0,3
7,175,2,testing,0.31,2,8,8,Medium,0.84,0.56,16,21.5,0,2,0,2
25,176,3,testing,0.82,2,8,7,High,0.79,0.73,16,20.3,1,1,0,8
5,177,9,react,0.65,4,2,1,Low,0.9,0.72,4,4.2,1,0,0,2
1,178,6,testing,0.63,7,2,3,Low,0.71,0.79,4,4.4,1,0,0,2
9,179,1,python,0.33,5,13,10,Low,0.58,0.7,52,35.7,1,2,1,13
3,180,8,spring,0.25,7,3,2,Critical,0.8,0.58,12,11.0,1,1,0,3
8,181,10,java,0.42,2,13,10,Critical,0.71,0.58,52,58.2,0,4,1,12
2,182,8,testing,0.74,7,5,7,Low,0.77,0.77,15,19.3,0,0,0,1
3,183,15,java,0.6,1,3,3,Low,0.59,0.62,6,10.3,0,1,0,1
20,184,11,sql,0.1,6,8,9,Critical,0.6,0.6,32,31.6,1,3,2,8
17,185,5,spring,0.63,1,8,10,Low,0.64,0.67,32,42.7,0,2,0,6
21,186,11,testing,0.36,6,8,8,Critical,0.68,0.69,24,36.7,0,2,1,4
14,187,6,testing,0.63,7,5,7,Critical,0.2,0.94,20,16.3,1,1,1,5
4,188,6,spring,0.15,7,3,4,High,0.7,0.58,6,7.9,0,2,1,0
16,189,2,java,0.47,2,1,1,Critical,0.69,0.6,2,2.8,0,0,0,0
5,190,9,java,0.22,4,8,9,Low,0.57,0.58,24,37.2,0,1,0,2
22,191,13,spring,0.65,2,13,10,High,0.86,0.72,52,41.3,1,2,1,13
10,192,6,java,0.17,7,8,8,Medium,0.83,0.59,32,52.5,0,5,1,0
8,193,14,java,0.5,6,3,4,Low,0.73,0.78,9,10.2,0,1,1,0
8,194,13,spring,0.65,2,8,7,High,0.88,0.62,16,15.5,1,1,0,8
6,195,5,devops,0.44,1,3,4,High,0.65,0.64,6,7.2,0,1,0,2
5,196,10,devops,0.4,2,5,4,Medium,0.42,0.58,20,25.9,1,1,0,5
21,197,1,java,0.67,5,13,10,Critical,0.83,0.79,39,50.4,0,1,0,5
11,198,3,react,0.2,2,3,4,Low,0.44,0.45,6,9.2,0,2,1,2
6,199,13,sql,0.52,2,1,1,High,1.0,0.6,3,4.5,0,0,0,0
16,200,10,spring,0.34,2,5,6,Medium,0.6,0.58,20,24.3,0,2,0,4
12,201,7,java,0.33,5,3,5,High,0.6,0.59,6,6.9,0,1,0,2
13,202,10,java,0.42,2,1,1,High,0.92,0.58,2,1.6,1,0,0,1
25,203,3,testing,0.82,2,3,4,High,0.61,0.75,6,6.7,0,0,0,2
16,204,12,spring,0.32,8,2,2,Critical,0.9,0.68,8,11.0,0,1,0,1
17,205,9,testing,0.43,4,13,10,Low,0.57,0.66,39,39.3,1,1,0,13
24,206,1,spring,0.58,5,1,3,Low,0.86,0.69,3,3.4,0,1,0,0
19,207,7,devops,0.51,5,13,10,High,0.53,0.71,26,40.9,0,0,0,6
1,208,6,python,0.63,7,8,10,High,1.0,0.7,16,17.8,1,1,0,8
14,209,14,java,0.5,6,2,4,Critical,0.72,0.72,8,10.6,0,1,0,1
13,210,14,react,0.55,6,13,10,Medium,0.91,0.63,39,47.0,0,2,1,0
6,211,2,sql,0.28,2,13,10,Medium,0.95,0.51,39,64.1,0,0,0,7
24,212,14,devops,0.39,6,2,2,Low,0.45,0.68,4,4.0,1,0,0,2
9,213,4,python,0.36,1,8,8,Low,0.51,0.56,16,17.1,0,3,1,0
15,214,13,sql,0.52,2,8,10,High,0.44,0.59,32,52.8,0,2,0,2
5,215,8,java,0.34,7,5,7,High,0.73,0.71,15,15.2,1,3,0,5
19,216,1,react,0.45,5,8,7,High,0.49,0.71,24,29.2,0,2,1,0
2,217,1,react,0.45,5,3,2,Low,0.87,0.59,12,15.5,0,1,0,0
17,218,7,spring,0.49,5,8,7,Critical,0.66,0.76,32,44.3,0,0,0,4
11,219,10,spring,0.34,2,8,8,Low,0.59,0.59,24,28.1,1,1,0,8
4,220,13,testing,0.36,2,3,2,Medium,0.52,0.56,6,6.1,0,0,0,2
23,221,8,spring,0.25,7,8,8,High,0.74,0.67,24,43.2,0,2,1,3
13,222,7,testing,0.4,5,3,2,High,0.58,0.7,6,8.2,0,0,0,1
4,223,9,devops,0.32,4,5,6,High,0.63,0.62,20,28.2,0,1,0,0
5,224,6,java,0.17,7,8,8,High,0.44,0.64,24,32.5,0,3,2,1
5,225,10,devops,0.4,2,1,2,Critical,0.65,0.57,4,6.0,0,1,0,0
5,226,11,devops,0.47,6,13,10,Critical,0.2,0.79,52,46.3,1,0,0,13
12,227,1,react,0.45,5,3,3,Medium,0.62,0.69,9,13.0,0,1,0,1
7,228,4,python,0.36,1,2,1,High,0.2,0.61,4,3.1,1,0,0,2
17,229,13,sql,0.52,2,13,10,High,0.76,0.59,52,66.0,1,4,0,13
5,230,10,spring,0.34,2,2,2,Medium,0.55,0.54,8,7.1,1,1,0,2
25,231,10,testing,0.5,2,2,4,Low,0.6,0.63,6,8.1,0,1,0,0
22,232,12,python,0.36,8,5,6,Critical,0.74,0.84,10,11.0,0,1,0,0
8,233,5,testing,0.47,1,5,5,High,0.61,0.6,20,29.7,0,0,0,0
15,234,8,testing,0.74,7,3,5,Critical,0.58,0.87,6,5.4,1,1,0,3
7,235,13,sql,0.52,2,2,3,Low,0.72,0.61,8,8.8,1,1,0,2
16,236,14,react,0.55,6,8,7,Low,0.44,0.78,24,23.3,1,1,0,8
3,237,13,python,0.27,2,3,5,Medium,0.96,0.55,9,11.8,0,3,2,2
8,238,14,spring,0.29,6,3,2,Critical,0.86,0.56,6,8.8,0,0,0,1
17,239,6,python,0.63,7,5,4,High,0.56,0.94,10,12.4,0,1,0,4
11,240,15,java,0.6,1,13,10,Medium,0.53,0.65,26,37.3,0,2,1,12
10,241,15,testing,0.33,1,5,5,Critical,0.53,0.51,15,15.5,1,0,0,5
20,242,1,java,0.67,5,1,2,Medium,0.51,0.86,2,2.4,1,0,0,1
18,243,12,sql,0.65,8,8,10,Low,0.53,0.93,24,27.1,1,0,0,8
8,244,5,java,0.51,1,1,1,Critical,0.76,0.64,4,5.2,0,0,0,0
3,245,2,testing,0.31,2,5,4,Medium,0.6,0.57,20,27.8,1,2,1,5
5,246,5,spring,0.63,1,1,2,Medium,0.91,0.69,4,5.8,0,0,0,0
6,247,11,devops,0.47,6,1,2,Low,0.84,0.64,4,2.6,1,1,1,1
18,248,9,testing,0.43,4,8,7,Critical,0.56,0.64,24,25.3,1,1,1,8
2,249,11,spring,0.83,6,3,4,Low,0.8,0.83,9,12.6,0,0,0,2
12,250,4,devops,0.18,1,13,10,High,0.81,0.47,26,35.9,0,6,4,12
12,251,9,react,0.65,4,13,10,Critical,0.42,0.79,52,64.1,0,1,0,5
21,252,3,testing,0.82,2,2,1,Critical,0.74,0.76,4,4.2,1,0,0,2
10,253,4,java,0.57,1,2,1,High,1.0,0.6,6,8.5,0,0,0,0
18,254,8,react,0.29,7,1,1,High,0.6,0.69,3,2.9,1,0,0,1
25,255,1,testing,0.84,5,13,10,High,0.5,0.94,26,36.9,0,0,0,0
12,256,7,spring,0.49,5,13,10,Critical,0.7,0.76,39,33.5,1,4,1,13
6,257,8,devops,0.5,7,5,6,High,0.77,0.7,10,9.2,1,2,1,5
24,258,7,java,0.33,5,5,5,High,0.5,0.55,15,20.9,0,1,0,4
3,259,6,devops,0.46,7,3,4,Critical,0.82,0.64,12,18.9,0,0,0,0
14,260,3,devops,0.39,2,5,6,Critical,1.0,0.5,10,12.8,1,2,1,5
24,261,14,react,0.55,6,8,10,High,1.0,0.75,32,35.4,1,3,1,8
2,262,2,devops,0.64,2,13,10,High,0.85,0.61,52,71.0,0,1,0,0
24,263,11,python,0.58,6,1,1,Critical,0.92,0.69,2,1.3,1,0,0,1
5,264,2,python,0.53,2,13,10,High,0.68,0.65,39,61.2,0,0,0,3
2,265,10,python,0.47,2,13,10,High,0.75,0.57,39,60.3,0,2,0,5
25,266,2,sql,0.28,2,2,3,Critical,0.4,0.5,6,6.2,1,1,1,2
21,267,5,python,0.56,1,1,1,Medium,0.33,0.63,3,3.2,0,0,0,0
18,268,2,react,0.43,2,3,5,Medium,0.62,0.66,12,16.1,0,1,1,1
23,269,15,spring,0.29,1,2,1,Medium,0.97,0.42,4,5.7,0,0,0,0
6,270,15,devops,0.23,1,5,4,High,0.71,0.47,20,19.6,1,1,0,5
12,271,12,java,0.56,8,8,9,High,0.61,0.81,16,17.1,1,2,1,8
23,272,12,devops,0.57,8,13,10,High,0.56,0.83,52,29.3,1,1,1,13
8,273,2,python,0.53,2,2,2,Critical,0.81,0.6,4,5.8,0,0,0,0
18,274,10,react,0.8,2,5,5,Low,0.81,0.66,10,14.9,0,0,0,2
13,275,12,devops,0.57,8,5,7,Critical,0.42,0.88,20,26.9,0,1,0,4
5,276,6,devops,0.46,7,1,3,Critical,0.57,0.73,4,4.1,1,1,0,1
17,277,6,python,0.63,7,8,8,Medium,0.86,0.8,24,27.0,1,2,1,8
17,278,15,testing,0.33,1,1,1,Medium,0.64,0.47,3,4.3,0,0,0,0
6,279,6,devops,0.46,7,2,3,High,0.81,0.75,4,5.5,1,1,1,2
9,280,4,devops,0.18,1,8,9,Medium,0.53,0.47,32,39.5,0,1,0,3
20,281,9,java,0.22,4,8,8,Medium,0.51,0.59,16,20.7,1,4,2,8
22,282,10,devops,0.4,2,8,9,Low,0.59,0.61,16,24.1,0,2,1,6
2,283,11,testing,0.36,6,8,9,Medium,0.64,0.69,32,38.9,0,2,1,1
20,284,11,java,0.65,6,5,6,High,0.32,0.85,15,25.3,0,1,0,3
22,285,7,react,0.13,5,5,4,Low,0.84,0.53,10,11.5,1,2,1,5
15,286,7,spring,0.49,5,5,5,High,0.8,0.65,20,25.8,0,0,0,3
11,287,14,devops,0.39,6,3,4,Critical,0.58,0.65,6,8.6,0,1,0,1
17,288,9,java,0.22,4,3,3,Critical,0.68,0.57,6,8.0,0,2,1,1
15,289,4,python,0.36,1,1,1,High,0.73,0.46,3,4.3,0,0,0,0
8,290,14,python,0.24,6,3,4,Medium,0.66,0.61,6,8.7,0,0,0,1
17,291,8,spring,0.25,7,3,5,Low,0.71,0.67,6,7.8,0,2,1,1
17,292,8,python,0.65,7,2,3,Low,0.6,0.73,4,3.9,0,0,0,0
16,293,10,testing,0.5,2,13,10,High,0.54,0.58,52,65.5,0,3,0,12
4,294,7,python,0.55,5,3,4,Critical,0.55,0.72,9,11.6,1,1,0,3
2,295,7,java,0.33,5,8,8,High,0.59,0.69,32,40.7,0,4,2,3
3,296,7,sql,0.53,5,5,6,Low,0.72,0.66,10,9.2,1,0,0,5
4,297,7,react,0.13,5,3,4,Medium,0.69,0.58,6,7.6,0,2,1,0
17,298,7,sql,0.53,5,1,1,Low,0.3,0.77,2,2.2,1,0,0,1
23,299,6,testing,0.63,7,5,7,Medium,0.68,0.84,20,24.0,1,2,1,5
17,300,3,react,0.2,2,8,9,Medium,0.48,0.53,24,37.2,0,3,1,3
19,301,6,sql,0.63,7,8,10,High,0.63,0.79,24,32.0,0,3,1,7
12,302,6,devops,0.46,7,1,3,High,0.57,0.8,4,5.9,0,0,0,0
20,303,8,react,0.29,7,13,10,Low,0.76,0.62,52,80.4,0,2,1,5
6,304,9,devops,0.32,4,13,10,Medium,0.71,0.56,52,68.1,0,0,0,9
2,305,10,devops,0.4,2,1,1,Low,0.59,0.62,3,2.1,1,0,0,1
11,306,7,python,0.55,5,5,5,Critical,0.73,0.76,20,26.6,0,1,0,0
16,307,14,testing,0.64,6,13,10,Medium,0.62,0.8,52,62.9,1,2,1,13
7,308,9,react,0.65,4,13,10,Critical,0.7,0.76,39,54.0,0,1,0,10
15,309,15,sql,0.55,1,3,4,High,0.83,0.54,12,12.2,0,1,1,1
7,310,4,react,0.14,1,8,9,Medium,1.0,0.33,24,39.5,0,1,0,3
23,311,4,devops,0.18,1,13,10,High,0.78,0.42,39,46.7,0,4,3,7
18,312,15,testing,0.33,1,13,10,High,0.92,0.5,26,32.2,0,1,0,3
22,313,9,spring,0.5,4,5,6,Medium,0.69,0.64,15,14.9,1,1,1,5
2,314,5,devops,0.44,1,1,2,Critical,0.61,0.46,4,2.9,1,0,0,1
9,315,12,spring,0.32,8,2,2,High,0.79,0.68,8,9.7,0,1,0,0
